Variable,"The District of Algoma Health Unit [Health region], Ontario","Brant County Health Unit [Health region], Ontario","Chatham-Kent Health Unit [Health region], Ontario","Durham Regional Health Unit [Health region], Ontario","The Eastern Ontario Health Unit [Health region], Ontario","Grey Bruce Health Unit [Health region], Ontario","Haldimand-Norfolk Health Unit [Health region], Ontario","City of Hamilton Health Unit [Health region], Ontario","Halton Regional Health Unit [Health region], Ontario","Haliburton, Kawartha, Pine Ridge District Health Unit [Health region], Ontario","Hastings and Prince Edward Counties Health Unit [Health region], Ontario","Huron Perth Health Unit [Health region], Ontario","Kingston, Frontenac and Lennox and Addington Health Unit [Health region], Ontario","Lambton Health Unit [Health region], Ontario","Leeds, Grenville and Lanark District Health Unit [Health region], Ontario","Middlesex-London Health Unit [Health region], Ontario","Niagara Regional Area Health Unit [Health region], Ontario","North Bay Parry Sound District Health Unit [Health region], Ontario","Northwestern Health Unit [Health region], Ontario","City of Ottawa Health Unit [Health region], Ontario","Peel Regional Health Unit [Health region], Ontario","Peterborough County--City Health Unit [Health region], Ontario","Porcupine Health Unit [Health region], Ontario","Sudbury and District Health Unit [Health region], Ontario","Renfrew County and District Health Unit [Health region], Ontario","Simcoe Muskoka District Health Unit [Health region], Ontario","South West [Home and Community Care Support Services], Ontario","Thunder Bay District Health Unit [Health region], Ontario","Timiskaming Health Unit [Health region], Ontario","City of Toronto Health Unit [Health region], Ontario","Waterloo Health Unit [Health region], Ontario","Wellington-Dufferin-Guelph Health Unit [Health region], Ontario","Windsor-Essex County Health Unit [Health region], Ontario","York Regional Health Unit [Health region], Ontario"
"          Iroquoian languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Ktunaxa (Kutenai),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Michif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Salish languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Halkomelem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Lillooet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Ntlakapamux (Thompson),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Secwepemctsin (Shuswap),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Squamish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Straits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Syilx (Okanagan),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Salish languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Siouan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Assiniboine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Stoney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Siouan languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Tsimshian languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Gitxsan (Gitksan),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Nisga'a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Tsimshian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Wakashan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Haisla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Heiltsuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Kwak'wala (Kwakiutl),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Nuu-chah-nulth (Nootka),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Wakashan languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"        Indigenous languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"        Indigenous languages, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Non-Indigenous languages,155,250,250,2630,160,1120,300,2405,3760,215,380,1090,295,175,85,2315,1325,70,25,4425,18895,210,165,175,130,1550,5235,70,45,46925,4330,1640,2400,34530
        Afro-Asiatic languages,0,10,0,55,0,0,0,245,205,0,0,10,25,0,0,360,35,0,0,800,865,0,0,0,0,35,375,0,0,1070,295,30,470,285
          Berber languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Kabyle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tamazight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"            Berber languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Chadic languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Coptic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Cushitic languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,10,0,0,0,0,0,0,0,0,120,15,0,0,0
            Bilen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Oromo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
            Somali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,10,0,0,0,0,0,0,0,0,115,0,0,0,0
"            Cushitic languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Semitic languages,0,10,0,55,0,0,0,245,205,0,0,10,25,0,0,360,35,0,0,750,850,0,0,0,0,35,375,0,0,950,280,30,460,285
            Amharic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10,0,0,0
            Arabic,0,10,0,45,0,0,0,180,205,0,0,10,25,0,0,315,25,0,0,725,795,0,0,0,0,15,325,0,0,570,230,20,410,130
            Aramaic languages,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,45,0,0,0,0,45,0,0,0,0,20,45,0,0,155,0,0,45,25
              Assyrian Neo-Aramaic,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,40,0,0,0,0,30,0,0,0,0,15,40,0,0,120,0,0,20,25
              Chaldean Neo-Aramaic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,10,0,0,30,0,0,25,0
"              Aramaic, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Hebrew,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,145,0,0,0,140
            Tigrigna,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,10,0,0
"            Semitic languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Austro-Asiatic languages,0,0,0,30,0,0,10,170,45,0,0,0,10,0,0,50,75,0,0,185,710,0,0,0,0,75,75,0,0,1305,150,60,130,305
          Khmer (Cambodian),0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,15,0,0,0,0,0,0,15,0,0,15,0,0,25,45
          Vietnamese,0,0,0,25,0,0,10,160,45,0,0,0,10,0,0,45,65,0,0,175,710,0,0,0,0,75,55,0,0,1285,150,60,115,260
"          Austro-Asiatic languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Austronesian languages,0,20,0,90,0,0,0,45,55,0,0,0,0,0,0,30,10,0,0,60,195,0,0,0,0,10,30,0,0,875,40,0,10,65
          Bikol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Bisaya, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Cebuano,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0
          Hiligaynon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Ilocano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0
          Indonesian,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,10,0,0,0,0
          Kankanaey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Malagasy languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Malay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Pampangan (Kapampangan, Pampango)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Pangasinan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Tagalog (Pilipino, Filipino)",0,0,0,60,0,0,0,40,45,0,0,0,0,0,0,25,10,0,0,40,185,0,0,0,0,10,25,0,0,790,30,0,10,55
"          Austronesian languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
        Creole languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,10,0,0,0,0
          Haitian Creole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Jamaican English Creole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Morisyen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Creole, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Creole languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Dravidian languages,0,0,0,275,0,10,0,25,0,0,10,0,0,0,0,55,0,0,0,20,350,0,0,0,0,45,55,0,0,1310,20,0,0,515
          Kannada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Malayalam,0,0,0,15,0,0,0,10,0,0,0,0,0,0,0,45,0,0,0,10,35,0,0,0,0,0,45,0,0,35,0,0,0,0
          Tamil,0,0,0,255,0,10,0,15,0,0,0,0,0,0,0,10,0,0,0,10,280,0,0,0,0,45,10,0,0,1260,10,0,0,510
          Telugu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,15,0,0,0,0
"          Dravidian languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Georgian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,35,0,0,0,10
        Indo-European languages,145,165,180,765,125,1075,215,1255,1450,125,210,1070,135,155,40,945,670,10,15,1365,13140,105,160,105,120,970,3710,20,35,14165,2830,1325,1325,4920
          Albanian,0,0,0,0,0,0,0,25,30,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,105,20,0,10,10
          Armenian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,10,0,0,40
          Balto-Slavic languages,0,20,10,75,15,0,0,250,255,20,0,0,20,0,0,135,140,0,0,260,1430,15,0,0,10,335,145,10,0,2190,260,50,95,1240
            Baltic languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,10
              Latvian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
              Lithuanian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,10
            Slavic languages,0,20,10,75,15,0,0,245,255,20,0,0,20,0,0,135,140,0,0,260,1430,15,0,0,10,335,145,10,0,2145,255,50,95,1230
              Bulgarian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,0,0,0,0,0,0,0,30,0,0,0,0
              Czech,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0
              Macedonian,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,40,0,0,10,10
              Polish,0,15,0,15,0,0,0,65,80,0,0,0,0,0,0,85,40,0,0,25,810,0,0,0,10,70,85,0,0,385,45,35,40,35
              Russian,0,0,0,40,0,0,0,35,85,15,0,0,20,0,0,35,65,0,0,185,175,0,0,0,0,245,40,10,0,1100,60,10,0,1160
              Serbo-Croatian,0,0,0,0,0,0,0,120,60,0,0,0,0,0,0,0,30,0,0,10,120,0,0,0,0,0,0,0,0,120,85,0,40,0
                Bosnian,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0
                Croatian,0,0,0,0,0,0,0,25,35,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,10,0,10,0
                Serbian,0,0,0,0,0,0,0,70,20,0,0,0,0,0,0,0,30,0,0,10,50,0,0,0,0,0,0,0,0,115,70,0,25,0
"                Serbo-Croatian, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Slovak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Slovene (Slovenian),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Ukrainian,0,0,0,10,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,20,295,0,0,0,0,15,0,0,0,445,50,0,0,20
"              Slavic languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Celtic languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Scottish Gaelic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"            Celtic languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Germanic languages,120,30,100,15,60,1020,140,15,40,60,60,1035,30,10,20,125,20,0,15,130,40,15,140,45,105,30,2635,0,35,245,1620,1020,235,20
            Frisian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            High German languages,115,0,20,10,60,935,45,15,30,40,60,895,15,0,0,100,15,0,15,90,40,0,135,35,85,20,2060,0,35,195,1525,850,95,10
              German,105,0,20,10,20,365,30,15,30,15,60,480,10,0,0,80,15,0,0,90,40,0,65,35,25,20,1145,0,20,145,680,350,95,10
              Pennsylvania German,0,0,0,0,0,555,0,0,0,25,0,390,0,0,0,15,0,0,0,0,0,0,70,0,40,0,870,0,0,0,835,500,0,0
              Swiss German,0,0,0,0,40,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0
              Yiddish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0
            Low Saxon-Low Franconian languages,0,20,85,0,0,80,95,0,10,15,0,130,0,0,0,15,0,0,0,20,0,0,0,10,20,15,550,0,0,35,90,170,140,10
              Afrikaans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Dutch,0,20,15,0,0,80,0,0,10,15,0,85,0,0,0,10,0,0,0,15,0,0,0,10,20,0,215,0,0,30,80,165,0,10
"              Low German, n.o.s.",0,0,20,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
              Low Saxon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Plautdietsch,0,0,50,0,0,0,80,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,10,0,140,0
              Vlaams (Flemish),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Scandinavian languages,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,10,0,0,0,0
              Danish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Icelandic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Norwegian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Swedish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"            Germanic languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Greek,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,10,10,0,0,0,0,0,25,0,0,230,0,0,0,20
          Indo-Iranian languages,10,85,0,400,25,30,0,330,565,0,20,0,40,0,0,150,125,0,0,355,10060,25,0,0,0,155,255,0,0,3580,420,145,285,2495
            Indo-Aryan languages,10,85,0,275,20,30,0,245,525,0,15,0,25,0,0,105,105,0,0,210,9970,0,0,0,0,115,205,0,0,1935,370,140,265,410
              Bengali,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,0,0,0,0,0,10,0,0,325,0,0,0,0
              Gujarati,0,0,0,20,15,0,0,0,15,0,10,0,0,0,0,10,0,0,0,15,340,0,0,0,0,15,15,0,0,305,30,0,15,30
              Hindi,0,0,0,75,0,0,0,15,35,0,0,0,0,0,0,25,0,0,0,45,585,0,0,0,0,10,25,0,0,200,55,0,10,55
              Kacchi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
              Nepali,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10,0,0,0,0,30,0,0,0,0,0,25,0,0,40,10,0,15,0
              Punjabi (Panjabi),0,85,0,25,0,25,0,180,195,0,10,0,0,0,0,50,35,0,0,70,8095,0,0,0,0,55,115,0,0,585,245,130,195,160
              Sindhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
              Sinhala (Sinhalese),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,10,0,0,0,0
              Urdu,0,0,0,115,10,0,0,30,280,0,0,0,0,0,0,15,20,0,0,50,835,0,0,0,0,35,20,0,0,460,25,10,30,170
"              Indo-Aryan languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Iranian languages,0,0,0,125,0,0,0,80,35,0,0,0,10,0,0,50,15,0,0,145,95,15,0,0,0,40,50,0,0,1640,55,0,20,2085
              Kurdish,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,10,0,0,0,15,0,0,0,0,0,10,10,0,0,40,0,0,0,0
              Pashto,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0
              Persian languages,0,0,0,115,0,0,0,60,35,0,0,0,10,0,0,45,0,0,0,125,85,15,0,0,0,25,45,0,0,1535,40,0,20,2070
                Dari,0,0,0,70,0,0,0,25,0,0,0,0,0,0,0,15,0,0,0,30,60,0,0,0,0,0,15,0,0,120,0,0,0,75
                Iranian Persian,0,0,0,40,0,0,0,35,35,0,0,0,10,0,0,25,0,0,0,85,20,0,0,0,0,20,25,0,0,1305,40,0,0,1780
"                Persian (Farsi), n.o.s.",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,10,0,0,0,0,0,10,0,0,120,0,0,0,215
"              Iranian languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"            Indo-Iranian languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Italic (Romance) languages,0,35,55,255,15,0,60,635,550,35,115,20,40,140,10,520,370,10,0,605,1550,45,0,50,0,450,640,10,0,7675,500,110,705,1090
            Catalan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Italian,0,0,0,10,0,0,0,25,20,0,0,0,0,0,0,10,15,0,0,45,85,0,0,10,0,30,15,0,0,420,0,15,15,295
            Portuguese,0,0,10,70,10,0,20,145,175,0,0,0,20,0,0,80,40,0,0,135,565,10,0,0,0,165,95,0,0,3740,155,25,40,210
            Romanian,0,0,0,15,0,0,0,20,10,0,0,0,0,0,0,10,0,0,0,10,40,0,0,0,0,10,15,0,0,55,70,0,0,40
            Spanish,0,20,45,155,0,0,40,450,350,30,105,20,20,135,0,425,315,10,0,420,855,35,0,45,0,245,510,0,0,3460,275,65,640,545
"            Italic (Romance) languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Indo-European languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Japanese,0,0,0,0,0,0,0,15,45,0,0,0,0,0,0,15,45,0,0,40,35,0,0,0,0,10,25,0,0,695,35,10,0,115
        Korean,0,0,0,85,0,0,20,70,225,0,25,0,40,0,0,175,55,0,0,165,305,0,0,0,0,75,180,0,0,2715,90,30,25,1330
        Mongolian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Niger-Congo languages,0,0,0,10,0,0,0,15,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,10,20,0,0,70,0,0,0,10
          Akan (Twi),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
          Edo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Fulah (Pular, Pulaar, Fulfulde)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Ga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Ganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
